content,E-mail,domain,name
,fujita.aa@sample.co.jp,sample.co.jp,藤田
,fujita.aa@test.co.jp,test.co.jp,藤田
,ishida.aa@sample.co.jp,sample.co.jp,石田
,ishida.aa@test.co.jp,test.co.jp,石田
,nakayama.aa@sample.co.jp,sample.co.jp,中山
,nakayama.aa@test.co.jp,test.co.jp,中山
,satou.aa@sample.co.jp,sample.co.jp,佐藤
,satou.aa@test.co.jp,test.co.jp,佐藤
,satou.ab@sample.co.jp,sample.co.jp,佐藤
,suzuki.aa@sample.co.jp,sample.co.jp,鈴木
,suzuki.ab@sample.co.jp,sample.co.jp,鈴木
,tanaka.aa@sample.co.jp,sample.co.jp,田中
,tanaka.aa@test.co.jp,test.co.jp,田中
,tanaka.ab@sample.co.jp,sample.co.jp,田中
幹部,yakuin.aa@sample.co.jp,sample.co.jp,役員太郎
